,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
10,Yellow,Coldplay,88,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,Kingdom,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
11,Ferrari,James Hype,90,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,4zN21mbAuaD0WqtmaTZZeP,Kingdom,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,audio_features,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4
12,Heat Waves,Glass Animals,89,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,02MWAaffLxlfxAUY7c5dvx,Kingdom,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
13,Not Over Yet (feat. Tom Grennan),KSI,79,https://open.spotify.com/track/3t2Hx5FPih5lKaxJFd6bRE,3t2Hx5FPih5lKaxJFd6bRE,Kingdom,0.501,0.775,9,-2.993,1,0.052,0.542,0.0,0.394,0.557,174.009,audio_features,spotify:track:3t2Hx5FPih5lKaxJFd6bRE,https://api.spotify.com/v1/tracks/3t2Hx5FPih5lKaxJFd6bRE,https://api.spotify.com/v1/audio-analysis/3t2Hx5FPih5lKaxJFd6bRE,155692,4
14,Green Green Grass,George Ezra,75,https://open.spotify.com/track/4N5s8lPTsjI9EGP7K4SXzB,4N5s8lPTsjI9EGP7K4SXzB,Kingdom,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,audio_features,spotify:track:4N5s8lPTsjI9EGP7K4SXzB,https://api.spotify.com/v1/tracks/4N5s8lPTsjI9EGP7K4SXzB,https://api.spotify.com/v1/audio-analysis/4N5s8lPTsjI9EGP7K4SXzB,167614,4
15,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Calvin Harris,74,https://open.spotify.com/track/6clzeGvi1CFioMOolbAOlX,6clzeGvi1CFioMOolbAOlX,Kingdom,0.81,0.733,9,-6.338,1,0.0444,0.276,6.73e-06,0.288,0.9,125.975,audio_features,spotify:track:6clzeGvi1CFioMOolbAOlX,https://api.spotify.com/v1/tracks/6clzeGvi1CFioMOolbAOlX,https://api.spotify.com/v1/audio-analysis/6clzeGvi1CFioMOolbAOlX,229283,4
16,Under The Influence,Chris Brown,90,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,5IgjP7X4th6nMNDh4akUHb,Kingdom,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4
17,Big City Life,Luude,79,https://open.spotify.com/track/1LIvdWNdKmHvU0FJvw2diN,1LIvdWNdKmHvU0FJvw2diN,Kingdom,0.615,0.902,3,-4.316,1,0.0859,0.0176,3.91e-05,0.103,0.298,87.03,audio_features,spotify:track:1LIvdWNdKmHvU0FJvw2diN,https://api.spotify.com/v1/tracks/1LIvdWNdKmHvU0FJvw2diN,https://api.spotify.com/v1/audio-analysis/1LIvdWNdKmHvU0FJvw2diN,146712,4
18,Late Night Talking,Harry Styles,92,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,1qEmFfgcLObUfQm0j1W2CK,Kingdom,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,audio_features,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4
19,B.O.T.A. (Baddest Of Them All),Eliza Rose,62,https://open.spotify.com/track/45bfH0GZvUyujIBiKRhXso,45bfH0GZvUyujIBiKRhXso,Kingdom,0.756,0.962,0,-7.526,1,0.0583,0.0671,0.703,0.194,0.749,136.981,audio_features,spotify:track:45bfH0GZvUyujIBiKRhXso,https://api.spotify.com/v1/tracks/45bfH0GZvUyujIBiKRhXso,https://api.spotify.com/v1/audio-analysis/45bfH0GZvUyujIBiKRhXso,358267,4
20,About Damn Time,Lizzo,81,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P,6HMtHNpW6YPi1hrw9tgF8P,Kingdom,0.836,0.743,10,-6.305,0,0.0653,0.0974,0.0,0.335,0.723,108.965,audio_features,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,https://api.spotify.com/v1/tracks/6HMtHNpW6YPi1hrw9tgF8P,https://api.spotify.com/v1/audio-analysis/6HMtHNpW6YPi1hrw9tgF8P,191938,4
21,Crazy What Love Can Do,David Guetta,86,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq,1WCEAGGRD066z2Q89ObXTq,Kingdom,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872,audio_features,spotify:track:1WCEAGGRD066z2Q89ObXTq,https://api.spotify.com/v1/tracks/1WCEAGGRD066z2Q89ObXTq,https://api.spotify.com/v1/audio-analysis/1WCEAGGRD066z2Q89ObXTq,169756,4
22,505,Arctic Monkeys,81,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,58ge6dfP91o9oXMzq3XkIS,Kingdom,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587,4
23,Another Love,Tom Odell,56,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,7jtQIBanIiJOMS6RyCx6jZ,Kingdom,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,audio_features,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,https://api.spotify.com/v1/tracks/7jtQIBanIiJOMS6RyCx6jZ,https://api.spotify.com/v1/audio-analysis/7jtQIBanIiJOMS6RyCx6jZ,244360,4
24,My G (feat. Ed Sheeran),Aitch,70,https://open.spotify.com/track/6Iqz3QB6zSdn1N61acinau,6Iqz3QB6zSdn1N61acinau,Kingdom,0.786,0.572,0,-7.362,1,0.164,0.62,0.0,0.241,0.537,100.121,audio_features,spotify:track:6Iqz3QB6zSdn1N61acinau,https://api.spotify.com/v1/tracks/6Iqz3QB6zSdn1N61acinau,https://api.spotify.com/v1/audio-analysis/6Iqz3QB6zSdn1N61acinau,198057,4
25,WAIT FOR U (feat. Drake & Tems),Future,89,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,59nOXPmaKlBfGMDeOVGrIK,Kingdom,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4
26,Mr. Brightside,The Killers,86,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,003vvx7Niy0yvhvHt4a68B,Kingdom,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,audio_features,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
27,Starlight,Dave,80,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc,531KGXtBroSrOX9LVmiIgc,Kingdom,0.954,0.367,4,-9.551,0,0.288,0.341,5.48e-06,0.0979,0.372,124.026,audio_features,spotify:track:531KGXtBroSrOX9LVmiIgc,https://api.spotify.com/v1/tracks/531KGXtBroSrOX9LVmiIgc,https://api.spotify.com/v1/audio-analysis/531KGXtBroSrOX9LVmiIgc,211935,4
